# game	verdict	note (M30, PLAN.md 45)
m402	match	M30 (cause G, FIXED): the yellow prism was GX_VA_NBT, the SDK's alias for the normal attribute, which the display-list decoder did not know -- the table's bump-mapped face group (nine s16 a vertex) was stepped through as four bytes and the next opcode read from vertex data; aliased and stepped now. The arena, the SLIME POWER sign, the checkered cross, the four blobs and the timer are the console's at every position.
m405	minor	M30 (cause B): the pool draws its two copies at the right alpha now (the KONST-1 alpha through the primary colour) and the register chains are exact; the tint is nearer the console's blue and the moving caustic pattern is the indirect warp (GXSetTevIndWarp, PLAN.md 17) the port still drops -- one surface, still minor.
m408	minor	M30 (cause C, the sky and the swirl FIXED, one cap left): the white sky and the missing sea were hsfload.c's rgba[100] -- this HSF has 112 materials and the overrun landed on the port's FogData (fog type 0xFF, NaN range, white) and BGColor; bounded in patches.txt. The sky is blue with the clouds at +60, the swirl tunnel draws at +1200 and +2300; a flat white polygon (the tunnel's cap, "fusagi") covers the tunnel's centre where the console shows the swirl's bottom -- one object, not read.
m414	match	M30 (cause C, FIXED): the cyan quadrants were the fog -- the saloon HSF carries a scene fog of (10000, 10000) in cyan, which the SDK's GXSetFog guard (endz == startz) makes no fog at all; the port's GL_EXP fogged every quadrant solid. The guard is in the port now, with the hardware's exponential shape; the four views, the WANTED! poster, the crowd, START! and the timer match to the frame.
m417	major	M30 (cause C, half): the cream screen was the same fog case as m414 (a degenerate scene fog), and the pool, the raft, the deck and the three tubes draw now; the water itself is black -- its five-stage shader reads PREV across a live register write (water.c:846-850), which GL 1.3's one carrier cannot say (a scalar-in-alpha fold, next milestone) -- and the port's game still ends at +846 where the console's runs on: the logic divergence was not chased.
m427	match	M30 (cause B, FIXED, four causes): the river was a TEV register chain drawn as the registers' constants (REG0 -> REG1 -> PREV, exact through PREVIOUS now); the headlamp is the RAS * (4 T_lamp + T_caustic.a * K) shape (regfix 4); the cave was lit wall to wall because GXInitLightSpot stored no cone (a 37.5-degree GX_SP_SHARP spot per boat now, the SDK's polynomial); the darkness is GX_FOG_EXP computed as the hardware does. The cave, the river, the boats lit by their lamps, the timer and the split match; the lamp's glow on the wall reads a little fainter than the console's.
m428	match	M30 (cause H, FIXED): the rope hook never calls GXEnd (the SDK's is an empty inline) and the port only submitted an immediate primitive on GXEnd -- every such primitive was dropped; a primitive ends at its n-th vertex now, and GXSetLineWidth (a stub until M30) gives it its 16/6-pixel width. Both ropes draw, orange and blue, as the console's.
m430	major	M30 (cause D, read, not fixed): the rope draws now (its four line vertices were one point until the n-th-vertex fix); the dark column in the right view stands. With --cpuxf every draw's positions were read: not the sky quads, not the island billboards (their 256x256 C8 texture dumps right, with alpha); the candidates left are the two Hu3DDrawPost shadow quads and the 120-vertex rope tubes -- next: a --gltrace of the right view alone.
m434	match	M30 (cause B, FIXED): the pond was never drawn -- its 31 position-only strips through glMultiDrawArraysEXT from the vertex-array-range ring draw nothing on the Radeon 9000 and the Intel HD 3000 alike (at any --mdmax, even one strip a call), while glDrawArrays draws them; that layout goes per strip now. Then its alpha: the lerp by A0 = 0.25 and the alpha side's KONST = 1 collide in one unit's constant, and the 1.0 rides the primary alpha now. The translucent grey-blue surface with the sky's reflection over the floor, the fish and the wading players, as the console's.
m435	minor	M30 (cause I, read, not fixed): the pillar flame is three objects; the star flare draws (an IA8 texture times a cyan konst, additive, alpha test 128) and the sphere (sphere1/sphere20, 176 vertices, T * RAS + a glow map through a GX_TG_NRM texgen, alpha 0.7, z write off) is in the drawlog at the pillar top with sane positions and does not show. Next: --dumptex on its 128x128 texture and a --gltrace of its two draws. The name in the result bubble (cause J) not started.
m436	minor	as m435 (cause I): the pillar spheres; read, not fixed.
m437	minor	as m435 (cause I): the pillar spheres; read, not fixed.
m448	match	M30 (cause I's surface, FIXED): the felt is hsfdraw's three-texture material -- the M16 triple (felt, environment map, lerp by its alpha) and then a second pair (a decal * RAS -> REG2, lerp(PREV, C2, decal.a)) the port sent down the generic path, where the decal stage overwrote PREV with a texture whose mean is black and the lerp mixed that with REG2's constant. Regfix shape 5 folds the pair into the M16 shape with the RAS multiply one unit later. The green felt lit by the stage lights, the grid, the chips and the scoreboard plate match.
m401	match	M30 control: unchanged by the day's levers (the boat's hull, the divers, the rings, the score HUD).
m416	match	M30 control: unchanged by the day's levers (the lit intro, START!, the timer).
m458	match	M30 (cause E, FIXED): the SIGBUS was the module reading its two player objects as a two-element array through the address of the first, (&lbl_1_bss_BC)[i] (17 sites) -- the console's .bss layout, not GCC's: spC[1] was a garbage OMOBJ and the pick faulted at +1416. The two are one array in patches.txt now; the game plays through +2600: the 3x3 panels, the title plate, Mario and Bowser on the panels with the Roll prompt, the dropped panels -- frame for frame with the console.
